id;id_doi;discipline;count
1;1;Business, Management and Accounting;71
2;1;Physics and Astronomy;1
3;1;Psychology;17
4;1;Sports and Recreations;8
5;1;Nursing and Health Professions;1
6;1;Unspecified;6
7;1;Design;2
8;1;Computer Science;1
9;1;Arts and Humanities;1
10;1;Social Sciences;11
11;1;Economics, Econometrics and Finance;3
12;2;Business, Management and Accounting;8
13;2;Unspecified;1
15;3;Economics, Econometrics and Finance;2
16;3;Unspecified;3
17;3;Engineering;1
18;3;Design;1
19;3;Computer Science;2
20;3;Social Sciences;11
23;4;Economics, Econometrics and Finance;2
24;4;Unspecified;4
25;4;Biochemistry, Genetics and Molecular Biology;1
26;4;Arts and Humanities;1
27;4;Social Sciences;3
29;5;Business, Management and Accounting;52
30;5;Economics, Econometrics and Finance;3
31;5;Unspecified;11
34;5;Psychology;2
35;7;Business, Management and Accounting;44
37;7;Nursing and Health Professions;1
38;7;Psychology;17
39;7;Environmental Science;1
41;7;Computer Science;2
42;7;Unspecified;12
44;7;Biochemistry, Genetics and Molecular Biology;2
45;7;Arts and Humanities;2
46;7;Agricultural and Biological Sciences;1
47;7;Chemistry;1
49;7;Economics, Econometrics and Finance;1
50;8;Business, Management and Accounting;17
52;8;Unspecified;3
53;9;Business, Management and Accounting;180
54;9;Psychology;18
55;9;Environmental Science;2
56;9;Decision Sciences;1
57;9;Sports and Recreations;1
58;9;Computer Science;1
60;9;Engineering;3
62;9;Arts and Humanities;2
63;9;Agricultural and Biological Sciences;3
64;9;Chemistry;1
65;9;Social Sciences;54
66;9;Economics, Econometrics and Finance;32
67;10;Business, Management and Accounting;14
68;10;Engineering;1
69;10;Social Sciences;2
71;11;Business, Management and Accounting;21
73;11;Decision Sciences;1
74;11;Philosophy;1
75;11;Nursing and Health Professions;1
79;12;Business, Management and Accounting;8
80;12;Biochemistry, Genetics and Molecular Biology;1
82;12;Unspecified;1
83;13;Business, Management and Accounting;16
84;13;Psychology;13
85;13;Sports and Recreations;1
86;13;Nursing and Health Professions;1
88;13;Arts and Humanities;1
89;13;Social Sciences;3
90;13;Economics, Econometrics and Finance;3
91;14;Business, Management and Accounting;60
92;14;Psychology;15
94;14;Philosophy;1
95;14;Computer Science;1
96;14;Unspecified;8
97;14;Economics, Econometrics and Finance;1
99;14;Design;1
100;14;Chemical Engineering;1
102;14;Social Sciences;15
103;14;Arts and Humanities;1
104;16;Business, Management and Accounting;32
105;16;Psychology;22
109;16;Engineering;1
111;16;Computer Science;1
112;16;Arts and Humanities;1
113;16;Neuroscience;1
114;16;Social Sciences;15
115;16;Economics, Econometrics and Finance;105
116;17;Business, Management and Accounting;31
119;17;Biochemistry, Genetics and Molecular Biology;1
120;17;Social Sciences;1
121;17;Psychology;1
122;18;Business, Management and Accounting;37
123;18;Economics, Econometrics and Finance;2
124;18;Unspecified;15
125;18;Engineering;3
126;18;Biochemistry, Genetics and Molecular Biology;1
127;18;Computer Science;6
128;18;Social Sciences;11
129;18;Psychology;3
130;19;Business, Management and Accounting;25
131;19;Economics, Econometrics and Finance;2
132;19;Environmental Science;1
133;19;Unspecified;8
134;19;Engineering;1
136;20;Business, Management and Accounting;1
137;21;Business, Management and Accounting;55
138;21;Economics, Econometrics and Finance;2
139;21;Unspecified;7
140;21;Engineering;1
141;21;Medicine and Dentistry;1
142;21;Computer Science;1
143;21;Arts and Humanities;3
144;21;Agricultural and Biological Sciences;1
145;21;Social Sciences;18
146;21;Psychology;20
147;22;Business, Management and Accounting;30
148;22;Materials Science;1
149;22;Economics, Econometrics and Finance;1
150;22;Unspecified;4
151;22;Social Sciences;7
